input_business_name,input_street_address1,input_street_address2,input_city,input_state,input_postal_code,input_tin
"SOIL AND LAND USE TECHNOLOGY, INC.",1818 NEW YORK AVE NE,STE 231,WASHINGTON,DC,20002,999999999
"SIGNET TECHNOLOGIES, INC.",12300 KILN CT STE E,,BELTSVILLE,MD,20705,999999999
OPEN IT INC.,16300 KATY FWY,,HOUSTON,TX,77094,999999999
SECURITY WALLS LLC,130 MARTINWOODS RD,,KNOXVILLE,TN,37923,999999999
UNIVERSITY OF GEORGIA,310 E CAMPUS RD TUCKER HALL,RM 409,ATHENS,GA,30602,999999999
PERACTOS LLC,961 CREPE MYRTLE DR,,PROSPER,TX,75078,999999999
ENVIGO RMS LLC,8520 ALLISON POINTE BLVD,STE 400,INDIANAPOLIS,IN,46250,999999999
PACIFIC BIOSCIENCES OF CALIFORNIA INC,1305 O'BRIEN DR,,MENLO PARK,CA,94025,999999999
"VITALSMARTS, LC",320 RIVER PARK DR STE SWB,,PROVO,UT,84604,999999999
"C & R COMMUNICATIONS, INC.",875 PENNSYLVANIA BLVD,SUITE 5,FEASTERVILLE,PA,19053,999999999
HAR-PER SALES SOLUTIONS INC,270 SOUTH ST,,WEST BRIDGEWATER,MA,23791,999999999
"SYSTEM 2/90, INC.",5350 CORPORATE GROVE DR SE,,GRAND RAPIDS,MI,49512,999999999
"AR GROUP, LLC, THE",4850 E PERRY PKWY,,GREENWOOD VILLAGE,CO,80121,999999999
"AMERIGUARD SECURITY SERVICES, INC.",5470 W SPRUCE AVE,STE 102,FRESNO,CA,93722,999999999
ALLEN INTEGRATED SOLUTIONS LLC,800 CORPORATE DR,STE 301,STAFFORD,VA,22554,999999999
SOUTHLAND TECHNOLOGY INC,8053 VICKERS ST,,SAN DIEGO,CA,92111,999999999
"INNOVATIVE MANAGEMENT, LLC",26-C PLAZA ST NE,STE 3,LEESBURG,VA,20176,999999999
LIFT COMMUNITY ACTION AGENCY INC,209 N 4TH ST,,HUGO,OK,74743,999999999
MOHAMMED AHMED,10433 KINGSBRIDGE RD,,ELLICOTT CITY,MD,21042,999999999
DMT SOLUTIONS GLOBAL CORPORATION,37 EXECUTIVE DR,,DANBURY,CT,68104,999999999
PROGEND INC,5330 GRIGGS RD,SUITE B107,HOUSTON,TX,77021,999999999
INNOVATIONS INTERNATIONAL LLC,7403 KINGS RIVER CT,,HUMBLE,TX,77346,999999999
GONZALES CONSULTING SERVICES INC,5200 DTC PKWY,STE 100,GREENWOOD VILLAGE,CO,80111,999999999
"FIRST VANGUARD RENTALS & SALES, INC.",1229 WESTERN ST,STE 2,FAIRFIELD,CA,94533,999999999
"AGILE DECISION SCIENCES, LLC",350 VOYAGER WAY,STE 100B,HUNTSVILLE,AL,35806,999999999
"ECS FEDERAL, LLC",2750 PROSPERITY AVE,STE 600,FAIRFAX,VA,22031,999999999
"BFPE INTERNATIONAL, INC.",7512 CONNELLEY DR,,HANOVER,MD,21076,999999999
"CENTURY COMPUTERS, INC.",1000 BISHOP ST,STE 701,HONOLULU,HI,96813,999999999
"CASEMAN, INC.",913 CATALINA BLVD,,SAN DIEGO,CA,92106,999999999
QED SYSTEMS INC,4646 N WITCHDUCK RD,,VIRGINIA BEACH,VA,23455,999999999
TAC INDUSTRIES INC,2160 OLD SELMA RD,,SPRINGFIELD,OH,45505,999999999
"BRACKETT AIRCRAFT COMPANY, INC",7045 FLIGHTLINE DR,,KINGMAN,AZ,86401,999999999
MEGGITT (BALTIMORE) INC.,3310 CARLINS PARK DR,,BALTIMORE,MD,21215,999999999
"CAL-BAY SYSTEMS, INC.",3070 KERNER BLVD,STE B,SAN RAFAEL,CA,94901,999999999
"WESTERN BRANCH DIESEL, LLC",3504 SHIPWRIGHT ST,,PORTSMOUTH,VA,23703,999999999
"OPEN TECH, INC",1336 MOCKINGBIRD DR,,BLACKSBURG,VA,24060,999999999
REP HOLDINGS INC,2011 MILLS B LANE BLVD,STE A,SAVANNAH,GA,31405,999999999
RAYTHEON COMPANY,1001 BOSTON POST RD,,MARLBOROUGH,MA,1752,999999999
DTI HOLDINGS LLC,3915 SUNNYMEADE RD,,RUSTBURG,VA,24588,999999999
"NEWVAC, LLC",9330 DE SOTO AVE,,CHATSWORTH,CA,91311,999999999
PROMARK CORPORATION,91-590 FARRINGTON HWY,STE 125,KAPOLEI,HI,96707,999999999
RAYTHEON TECHNICAL SERVICES CO,2 WAYSIDE ROAD,,BURLINGTON,MA,1803,999999999
OLYMPUS AMERICA INC,48 WOERD AVENUE,STE 105,WALTHAM,MA,24533,999999999
LENOVO (UNITED STATES) INC.,1009 THINK PLACE,,MORRISVILLE,NC,27560,999999999
GEARY PACIFIC CORP,1908 N ENTERPRISE ST,,ORANGE,CA,92865,999999999
PROGRESSIVE COMMUNICATIONS LLC,1082 SAND ISLAND PKWY,,HONOLULU,HI,96819,999999999
EDGEONE LLC,4 LITTLE BROOK RD,,WEST WAREHAM,MA,25761,999999999
ONN PHUN,"1060,OAK AVE",,WOODLAND,CA,95695,999999999
ISLAND ELECTRICAL EXPRESS,1020 ELM ST,,SAN CARLOS,CA,94070,999999999
"INTERNATIONAL IDENTIFICATION, INC",721 YORK ST,,NEWPORT,KY,41071,999999999
"FOUR SEASONS ENVIRONMENTAL, INC.",43 NEW GARVER RD,,MONROE,OH,45050,999999999
KULATHUNGAM MANORANJITHAM,7 FALLING WATER CT,,GLYNDON,MD,21136,999999999
HYGIENA LLC,941 AVENIDA ACASO,,CAMARILLO,CA,93012,999999999
"SATELLITE ARMY, INC.",203 N LAKE PARK BLVD,,CAROLINA BEACH,NC,28428,999999999
ACROW CORPORATION OF AMERICA,181 NEW RD STE 202,,PARSIPPANY,NJ,70545,999999999
INDIAN OCEAN PROPERTIES LLC,2507 MASSACHUSETTS AVE NW,,WASHINGTON,DC,20008,999999999
FAMILY DEVELOPMENT RESOURCES INC,3070 RASMUSSEN RD,STE 190,PARK CITY,UT,84098,999999999
"SECURITY INFORMATION SYSTEMS, INC.",6314 KINGSPOINTE PKWY #3,,ORLANDO,FL,32819,999999999
"AYALYTICAL INSTRUMENTS, INC.",2787 W FULTON ST,,CHICAGO,IL,60612,999999999
"PO`OKELA SOLUTIONS, LLC",12565 RESEARCH PKWY,STE 300,ORLANDO,FL,32826,999999999
INNOVATIVE SOLUTIONS & SUPPORT INC,720 PENNSYLVANIA DR,,EXTON,PA,19341,999999999
MAGWERKS CORPORATION,501 COMMERCE DR,,DANVILLE,IN,46122,999999999
DUTCH VALLEY SUPPLY CO.,970 PROGRESS CENTER AVE,,LAWRENCEVILLE,GA,30043,999999999
"MASTERCRAFT MECHANICAL CONTRACTORS, INC.",5231 S OLD STATE RD 37,,BLOOMINGTON,IN,47401,999999999
ENTEK CORPORATION,812 GRAYSON RD,,PLEASANT HILL,CA,94523,999999999
"S. CHAVES CONSTRUCTION, INC.",711 EVANS RD,,SAN LUIS OBISPO,CA,93401,999999999
"WEST MARINE, INC.",500 WESTRIDGE DR,,WATSONVILLE,CA,95076,999999999
"UNITED ELECTRONIC INDUSTRIES SERVICES, LLC",8264 SUB BASE #3,,ST THOMAS,VI,80258,999999999
CIQIMA FEDERAL SERVICES LLC,4300 B ST,STE 405,ANCHORAGE,AK,99503,999999999
TLD AMERICA CORPORATION,812 BLOOMFIELD AVE,,WINDSOR,CT,60952,999999999
GANAHL LUMBER COMPANY,1220 E BALL RD,,ANAHEIM,CA,92805,999999999
CYBERCHRON RUGGED SYSTEMS CORP.,25 CORPORATE PARK DR STE E BOX 14,,HOPEWELL JUNCTION,NY,12533,999999999
"MARVIN ENGINEERING CO., INC.",261 W BEACH AVE,,INGLEWOOD,CA,90302,999999999
PARAVIS INDUSTRIES INC,1597 ATLANTIC BLVD,,AUBURN HILLS,MI,48326,999999999
"KAB, INC.",34842 MOUND RD,,STERLING HEIGHTS,MI,48310,999999999
ENERGID TECHNOLOGIES CORPORATION,124 MOUNT AUBURN ST 200N,,CAMBRIDGE,MA,21385,999999999
ENGILITY LLC,3750 CENTERVIEW DR,,CHANTILLY,VA,20151,999999999
COMTROL CORPORATION,6655 WEDGWOOD RD,STE 120,OSSEO,MN,55311,999999999
KENNEBEC TECHNOLOGIES,150 CHURCH HILL RD,,AUGUSTA,ME,43308,999999999
COMMAND PERFORMANCE CONSTRUCTORS INC,1155 SPORTFISHER DR,STE 150,OCEANSIDE,CA,92054,999999999
"LUMENSION SECURITY, INC.",8660 E HARTFORD DR,STE 300,SCOTTSDALE,AZ,85255,999999999
UNITED TRUCK RENTALS AND EQUIPMENT LEASING INC,2804 KILIHAU ST,,HONOLULU,HI,96819,999999999
"NEXGEN COMPOSITES, LLC",120 GRAHAM DR,,FRANKLIN,OH,45005,999999999
TEL-TRU INC,408 SAINT PAUL ST,,ROCHESTER,NY,14605,999999999
BOOZ ALLEN HAMILTON INC.,4055 HANCOCK ST,STE 100,SAN DIEGO,CA,92110,999999999
"GRACE ASSOCIATES, INC.",2309 CARDENAS AVE,,TAMPA,FL,33629,999999999
TRIPLE B FORWARDERS GUAM INC,LOT 5161-1-7 HARMON INDUST,,TAMUNING,GU,96913,999999999
PERSISTENT SYSTEMS LLC,601 W 26TH ST,STE 905,NEW YORK,NY,10001,999999999
"EPSILON SYSTEMS SOLUTIONS, INC.",1565 HOTEL CIRCLE SOUTH,SUITE 200,SAN DIEGO,CA,92108,999999999
"PORTABLE COMPUTER SYSTEMS, INC.","12851 W 43RD DR, #2",,GOLDEN,CO,80403,999999999
ENGINEERED COOLING SERVICES LLC,2801 N DAVIS HWY,,PENSACOLA,FL,32503,999999999
METHODE DUEL INC,7401 WEST WILSON AVE,,CHICAGO,IL,60706,999999999
"MARINE TECHNOLOGY SOCIETY, INC",5565 STERRETT PL,# 108,COLUMBIA,MD,21044,999999999
"CARNAZZO COURT-REPORTING COMPANY, LTD.",888 MILILANI ST,STE 705,HONOLULU,HI,96813,999999999
CH TECHNOLOGIES U.S.A. INC.,263 CENTER AVE,STE 1,WESTWOOD,NJ,76751,999999999
"AEROL CO., INC.",19560 S RANCHO WAY,,RANCHO DOMINGUEZ,CA,90220,999999999
"BALLARD TECHNOLOGY, INC.",11400 AIRPORT RD,STE 201,EVERETT,WA,98204,999999999
AQUANEERING INC,7960 STROMESA CT,,SAN DIEGO,CA,92126,999999999
"CMS ADVERTISING GROUP, LLC",3100 CLARENDON BLVD,SUITE 200,ARLINGTON,VA,22201,999999999
PULCIR INC,1225 LIVE OAK CIR,,KNOXVILLE,TN,37932,999999999
"PINNACLE DATA SYSTEMS, INC.",6600 PORT RD,,GROVEPORT,OH,43125,999999999
AKIMA FACILITIES OPERATIONS LLC,13873 PARK CENTER RD,STE 400N-280,HERNDON,VA,20171,999999999
INDUSTRIAL SUPPLY CO INC,1635 S 300 W,,SALT LAKE CITY,UT,84115,999999999
"SUMMER CONSULTANTS, INC.",7900 WESTPARK DR,STE A405,MCLEAN,VA,22102,999999999
GOLD WAVE INC,1930 72ND ST,,DARIEN,IL,60561,999999999
"AMERICAN LOAN MASTERS, INC.",103 W INYOKERN RD,,RIDGECREST,CA,93555,999999999
DLZP GROUP LLC,2307 THOMPSON CROSSING DR,,RICHMOND,TX,77406,999999999
"EXPEDITEINFOTECH, INC.",9200 CORPORATE BLVD,STE 130,ROCKVILLE,MD,20850,999999999
"ADVANCED PRECISION MACHINING, INC.",1649 MONROVIA AVE,,COSTA MESA,CA,92627,999999999
"MARK SCHADE, PHD",1108 FAIRMOUNT AVE,,AUSTIN,TX,78704,999999999
VTEC MAINE INC,343 GORHAM RD,,SOUTH PORTLAND,ME,41062,999999999
DONALD DANFORTH PLANT SCIENCE CENTER,975 N WARSON RD,,SAINT LOUIS,MO,63132,999999999
INOVATIV INC,1500 W MCKINLEY ST,,AZUSA,CA,91702,999999999
WORLD WIDE TECHNOLOGY LLC,1 WORLD WIDE WAY,,SAINT LOUIS,MO,63146,999999999
"AMIGO IMPLEMENT COMPANY, INC.",304 W MONTE CRISTO RD,,EDINBURG,TX,78541,999999999
SUPERIOR INDUSTRIAL SUPPLY CO,7300 N OAK PARK AVE,,NILES,IL,60714,999999999
MISSISSIPPI STATE DEPARTMENT OF HEALTH,570 E WOODROW WILSON,,JACKSON,MS,39216,999999999
GETINGE USA SALES LLC,45 BARBOUR POND DR,,WAYNE,NJ,74702,999999999
IMPLAN GROUP LLC,16905 NORTHCROSS DR SUITE 120,,HUNTERSVILLE,NC,28078,999999999
NEMOVI LAW GROUP APC,2173 SALK AVE STE 250,,CARLSBAD,CA,92008,999999999
"OFFICE GROUP, INC., THE",372 WYTHE CREEK RD STE C,,POQUOSON,VA,23662,999999999
JACOBS ENGINEERING GROUP INC.,1100 NORTH GLEBE RD,STE 500,ARLINGTON,VA,22201,999999999
IMAGE ACCESS GMBH,HATZFELDER STR. 161-163,,WUPPERTAL,,42281,999999999
PAMELA GREEN HAWKINS PHD,21 TAMAL VISTA BLVD,,CORTE MADERA,CA,94925,999999999
"ELDH, WENDI",88 JUNIPER HILL PLACE NE,,ALBUQUERQUE,NM,87122,999999999
MILES STEPHEN D,18 W MONUMENT AVE,,DAYTON,OH,45402,999999999
"CRAY LAW FIRM, PLC",420 N ROOSEVELT AVE,STE 110,BURLINGTON,IA,52601,999999999
"ADVANCED BRAIN MONITORING, INC.",2237 FARADAY AVE,STE 100,CARLSBAD,CA,92008,999999999
VENTRAQ CORP,6 MONTGOMERY VILLAGE AVE,STE 610,GAITHERSBURG,MD,20879,999999999
EPOCH LIFE SCIENCE INC.,4907 BIG CEDAR CIR,,MISSOURI CITY,TX,77459,999999999
OAKMONT CONTRACTING LLC,1100 WICOMICO ST STE 500,,BALTIMORE,MD,21230,999999999
TARRANT COUNTY ASSOCIATION FOR BLIND,912 W BROADWAY ST,,FORT WORTH,TX,76104,999999999
KIPPER TOOL COMPANY,2375 MURPHY BLVD,,GAINESVILLE,GA,30504,999999999
ALLIANCE FOR HOPE INTERNATIONAL,14321 PEAK TO PEAK HIGHWAY,,ALLENSPARK,CO,80510,999999999
AMERICAN COOLING TOWER INC,3130 W. HARVARD ST.,,SANTA ANA,CA,92704,999999999
FLORIDA NON-PROFIT HOUSING INC,3909 KENILWORTH BLVD,,SEBRING,FL,33870,999999999
"ALETHIALABS, INC.",19195 COTON HALL ST,,LEESBURG,VA,20176,999999999
INTERNATIONAL TEST AND EVALUATION ASSOCIATION,11350 RANDOM HILLS RD,STE 800,FAIRFAX,VA,22030,999999999
GENERAL MANUFACTURING LLC,1725 N 33RD AVE,,MELROSE PARK,IL,60160,999999999
"BMT DESIGNERS & PLANNERS, INC.",4401 FORD AVE STE 1000,,ALEXANDRIA,VA,22302,999999999
RURAL COMMUNITY ASSISTANCE CORPORATION,3120 FREEBOARD DR,STE 201,WEST SACRAMENTO,CA,95691,999999999
"A AND N SERVICES, INC.",4419 BELLMEADE DR,,DOUGLASVILLE,GA,30135,999999999
THE REMI GROUP LLC,11325 N COMMUNITY HOUSE RD STE 300,,CHARLOTTE,NC,28277,999999999
VANBINSBERGEN & ASSOCIATES LLC,540 S 1ST ST,,MONTEVIDEO,MN,56265,999999999
"GENOHUB, INC.",1900A CRESTED BUTTE DR.,,AUSTIN,TX,78746,999999999
CLEAN FUELS ASSOCIATES INC,7666 BALTIMORE ANNAPOLIS BLVD,,GLEN BURNIE,MD,21060,999999999
AETION INC,5 PENN PLZ,FL 7,NEW YORK,NY,10001,999999999
ENV SERVICES INC,2880 BERGEY RD STE K,,HATFIELD,PA,19440,999999999
"YOUR RECRUITING COMPANY, INC.",3975 FAIR RIDGE DR,SUITE 300S,FAIRFAX,VA,22033,999999999
3D UNIVERSE LLC,2833 WATERFRONT AVE,,ALGONQUIN,IL,60102,999999999
COMPUWARE CORPORATION,1 CAMPUS MARTIUS,FL 4,DETROIT,MI,48226,999999999
SALVAGEDATA RECOVERY LLC,43 ALPHA PARK,,CLEVELAND,OH,44143,999999999
NUVOLOGIC CONSULTING INC.,1765 GREENSBORO STATION PL,STE 900,MC LEAN,VA,22102,999999999
"THE GORDIAN GROUP, INC.",30 PATEWOOD DRIVE,SUITE 350,GREENVILLE,SC,29615,999999999
"BLUENET SERVICES, LLC",14901 MARY BOWIE PKWY,,UPPER MARLBORO,MD,,999999999
